id,tier
applesauce,1
pear_juice,1
carrot_mash,1
oat_cookie,1
berry_bar,1
nut_mix,1
honey_drop,1
herbal_tea,1
mushroom_snack,1
spelt_bread,1
tomato_paste,1
cucumber_salad,1
mango_paste,1
almond_drink,1
cacao_nibs,1
onion_soup,1
lentil_stew,1
plum_jam,1
apple_chips,1
rye_crackers,1
pumpkin_paste,1
pea_snack,1
bean_salad,1
cabbage_rolls,1
radish_mix,1
basil_pesto,1
raspberry_puree,1
walnut_butter,1
barley_porridge,1
potato_bites,1
algae_bar,2
quinoa_bites,2
chickpea_bites,2
almond_yogurt,2
soy_cubes,2
date_cream,2
sesame_brittle,2
ginger_shot,2
coconut_bites,2
cashew_butter,2
amaranth_puff,2
chia_snack,2
lupin_bread,2
hemp_cookie,2
agave_drink,2
berry_quark,2
lime_jelly,2
pepper_chutney,2
curry_paste,2
avocado_cream,2
pomegranate_juice,2
turmeric_bar,2
pistachio_mix,2
fig_butter,2
macadamia_bites,2
sea_buckthorn_juice,2
buckwheat_crackers,2
currant_gel,2
peach_pulp,2
cinnamon_granules,2
protein_gel,3
algae_paste,3
mushroom_jerky,3
nut_protein,3
berry_concentrate,3
vegetable_extract,3
ferment_drink,3
vital_porridge,3
herbal_elixir,3
seed_bar,3
sprout_mix,3
plant_quark,3
hemp_yogurt,3
lentil_protein,3
chickpea_paste,3
fruit_essence,3
root_extract,3
blossom_jelly,3
moss_bar,3
pine_syrup,3
berry_capsule,3
vegetable_concentrate,3
mushroom_protein,3
seed_butter,3
algae_crackers,3
nut_essence,3
ferment_bar,3
herbal_paste,3
root_porridge,3
leaf_concentrate,3
cell_meat,4
algae_protein,4
nutrient_gel,4
synth_porridge,4
bio_essence,4
plant_elixir,4
microgreens,4
nutri_paste,4
vital_gel,4
ferment_essence,4
protein_capsule,4
berry_elixir,4
mushroom_essence,4
seed_elixir,4
nut_gel,4
fruit_capsule,4
vegetable_elixir,4
algae_elixir,4
herbal_essence,4
root_elixir,4
blossom_elixir,4
moss_essence,4
drop_gel,4
cell_paste,4
nutrient_concentrate,4
bio_gel,4
plant_concentrate,4
ferment_capsule,4
protein_essence,4
vital_essence,4
